"Créateur";"Titre";"Editeur";"Date";"Description";"Type";"Format";"Langue";"Identifiant";"URL";"SOURCE";"droits"
"Levasseur , Suzanne (1888-1976)";"Le chevalier Printemps";"Ed. de la ""Mode Nationale""";"impr. 1925";"Collection Fama ; 104";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_104_C90764";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_104_C90764.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Lorn , Anny (1882-1977)";"L'inconnu du rapide : roman";"Société d'éditions, publications et industries annexes";"impr. 1933";"Collection Fama ; 366";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_366_C90808";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_366_C90808.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Lorn , Anny (1882-1977)";"La jolie dame : roman";"Société d'éditions, publications et industries annexes";"impr. 1933";"Collection Fama ; 358";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_358_C90806";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_358_C90806.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Magali (1898-1986)";"Dans la geôle enchantée : roman";"Société d'éditions publications et industries annexes";"impr. 1934";"Collection Fama ; 396";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_396_C90829";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_396_C90829.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Magali (1898-1986)";"Eve enchaînée : roman";"Ed. de la ""Mode nationale""";"impr. 1931";"Collection Fama ; 267";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_267_C90783";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_267_C90783.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Magali (1898-1986)";"Martine au coeur secret : roman";"Ed. de la ""Mode nationale""";"impr. 1932";"Collection Fama ; 277";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_277_C90786";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_277_C90786.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Manteuffel , Ursula Zöge von (1850-1910)";"Lora";"Ed. de la ""Mode Nationale""";"Impr. 1926";"Collection Fama ; 140";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_140_C90767";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_140_C90767.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Marchal , Henri";"L'enfant de Noël : roman inédit";"Société d'éditions publications et industries annexes";"impr. 1934";"Collection Fama ; 387";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_387_C90822";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_387_C90822.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Martial , Hélène";"Femmes de marins . L'absence";"Ed. de la ""Mode Nationale""";"[s. d.]";"Collection Fama ; 23";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_23_C90756";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_23_C90756.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Milan , Amélie Juliette (1872-1932)";"Les conquêtes du commandant Belormeau";"Ed. de la ""Mode Nationale""";"impr. 1927";"Collection Fama ; 71";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_71_C90762";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_71_C90762.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Morin-Sarrus , Jacques";"Pourquoi n'avez-vous pas compris ?... : roman";"Société d'éditions, publications et industries annexes";"impr. 1934";"Collection Fama ; 393";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_393_C90828";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_393_C90828.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Mouthiez , Claude (18..-19..)";"Sylva, la sauvageonne : roman";"S.E.P.I.A.";"DL 1954";"Collection Fama ; 55";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_55_C90759";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_55_C90759.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Novel , Guy de";"Son maître";"Société d'éditions, publications et industries annexes";"impr. 1934";"Collection Fama ; 389";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_389_C90824";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_389_C90824.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Fleurange , Claude";"Mon ennemi chéri : roman";"Société d'éditions publications et industries annexes";"impr. 1934";"Collection Fama ; 398";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_398_C90830";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_398_C90830.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Priollet , Marcel (1884-1960)";"Quatre coeurs sur les routes de l'amour . [II] . J'aime... et j'accuse !";"Société d'éditions publications et industries annexes";"impr. 1934";"Collection Fama ; 399";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_399_C90831";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_399_C90831.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Puliga , Henrietta de Quigini (1847-1938)";"La voix qui accuse";"Ed. de la ""Mode Nationale""";"[s .d.]";"Collection Fama ; 96";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_96_C90763";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_96_C90763.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Redanges , Jacques";"Le rêve d'Hélène : roman";"Société d'éditions, publications et industries annexes";"impr. 1934";"Collection Fama ; 377";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_377_C90818";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_377_C90818.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Reyssa , José";"Le blond fantôme de l'amour : roman";"Société d'éditions, publications et industries annexes";"impr. 1933";"Collection Fama ; 357";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_357_C90805";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_357_C90805.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Reyssa , José";"Un coeur et son mystère : roman";"Ed. de la ""Mode Nationale""";"impr. 1933";"Collection Fama ; 329";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_329_C90799";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_329_C90799.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Reyssa , José";"Une tâche sur le nom : roman";"Société d'éditions, publications et industries annexes";"impr. 1934";"Collection Fama ; 392";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_392_C90827";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_392_C90827.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Saint-Marc , Jean de (18..-19..)";"Le fiancé de Josette : roman";"Ed. de la ""Mode nationale""";"impr. 1931";"Collection Fama ; 249";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_249_C90779";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_249_C90779.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Salmon , Paul (1884-1965)";"Un grand amour est né : roman";"Ed. de la ""Mode Nationale""";"impr. 1930";"Collection Fama ; 242";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_242_C90777";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_242_C90777.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Sempré , Jacques (18..-19..)";"Le lien vivant : roman";"Ed. de la ""Mode Nationale""";"impr. 1932";"Collection Fama ; 296";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_296_C90791";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_296_C90791.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Siméon , Florent";"La maîtresse de La Morinière : roman";"M. Daubin";"DL 1947";"Collection Fama : nouvelle série ; 8";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_8_C90752";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_8_C90752.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Souvigny , Pierre de";"Le second mari de Lady Stanley : roman";"Ed. de ""La mode nationale""";"impr.1931";"Collection Fama ; 246";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_246_C90778";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_246_C90778.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Spitzmuller , Georges (1867-1925)";"Le secret du vieux château";"Ed. de la ""Mode Nationale""";"[19..]";"Collection Fama ; 36";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_36_C90757";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_36_C90757.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Tinseau , Léon de (1844-1921)";"Le secrétaire de madame la Duchesse";"Ed. de la ""Mode Nationale""";"1926";"Collection Fama ; 137";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_137_C90766";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_137_C90766.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Triaire , Marcel";"Jeunesse en fleur : roman";"M. Daubin";"DL 1949";"Collection Fama : nouvelle série ; 32";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_32_C90755";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_32_C90755.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Vayre , Charles (1873-19..)";"Les deux fiancées : roman d'amour";"Société d'éditions publications et industries annexes";"impr. 1934";"Collection Fama ; 406";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_406_C90835";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_406_C90835.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Vèdes , Suzy de (18..-19..)";"Chiffonnette : roman";"Société d'éditions, publications et industries annexes";"impr. 1933";"Collection Fama ; 351";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_351_C90804";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_351_C90804.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Vertiol , Andrée";"La force du pardon ; [suivi de] Le fiancé de Yolaine ; Les inquiétudes de Mlle Angélique";"Ed. de la ""Mode Nationale""";"Impr. 1924";"Collection Fama ; 66";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_66_C90760";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_66_C90760.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Vertiol , Andrée";"La fée du vieux logis";"Ed. de la ""Mode Nationale""";"[19..]";"Collection Fama ; 5";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_5_C90751";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_5_C90751.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Wailly , Marie de (1880-1964)";"L'étincelle : roman";"Société d'éditions publications et industries annexes";"impr. 1934";"Collection Fama ; 402";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_402_C90833";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_402_C90833.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Warden , Gertrude (18..-19..)";"Maison hantée . Tome I";"Ed. de la ""Mode Nationale""";"impr. 1927";"Collection Fama ; 51";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_51_C90758";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_51_C90758.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"White , Frederick Merrick (1859-1935)";"Le secret des sables : roman";"Ed. de la ""Mode Nationale""";"impr. 1930";"Collection Fama ; 230";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_221_C90772";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_221_C90772.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Williamson , Alice Muriel (1869-1933)";"La maison du silence : roman";"Ed. de la ""Mode Nationale""";"impr. 1928";"Collection Fama ; 177";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_177_C90768";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_177_C90768.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Woestyn , H.-R.";"La voisine aux millions : roman";"Ed. de la ""Mode Nationale""";"impr. 1930";"Collection Fama ; 232";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_232_C90774";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_232_C90774.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Aghion , Marie Reine";"Ma cousine de Paris : roman";"Société d'éditions publications et industries annexes";"impr. 1938";"Collection Fama ; 573";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_573_C90875";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_573_C90875.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Aubigny , Roger d'";"Ces fleurs et notre amour... : roman";"Société d'éditions publications et industries annexes";"impr. 1938";"Collection Fama ; 591";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_591_C90891";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_591_C90891.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Aubigny , Roger d'";"Divine clarté : roman";"Société d'éditions publications et industries annexes";"impr. 1939";"Collection Fama ; 646";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_646_C90913";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_646_C90913.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Aubigny , Roger d'";"Les bâteliers du crépuscule : roman";"Société d'éditions publications et industries annexes";"impr. 1936";"Collection Fama ; 474";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_474_C90849";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_474_C90849.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Aulès , Marc";"La chaîne du passé : roman";"Société d'éditions, publications et industries annexes";"impr. 1939";"Collection Fama ; 629";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_629_C90906";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_629_C90906.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Bonneau , Albert (1898-1967)";"A l'ombre du vieux clocher : roman";"Société d'éditions publications et industries annexes";"impr. 1939";"Collection Fama ; 625";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_625_C90902";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_625_C90902.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Bonneau , Albert (1898-1967)";"La croisière du ""Myosotis"" : roman";"Société d'éditions publications et industries annexes";"impr. 1937";"Collection Fama ; 543";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_543_C90862";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_543_C90862.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Bonneau , Albert (1898-1967)";"La filleule de mon curé : roman";"Société d'éditions publications et industries annexes";"impr. 1937";"Collection Fama ; 559";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_559_C90869";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_559_C90869.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Bonneau , Albert (1898-1967)";"La fugue de Marinette : roman";"Société d'éditions publications et industries annexes";"impr. 1939";"Collection Fama ; 658";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_658_C90917";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_658_C90917.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
