"titre";"créateur";"contributeur";"sujet";"description";"editeur";"Date ";"Type ";"format";"identifiant";"Source 1";"Source 2";"langue";"Relation";"couverture";"droits";"url"
"Gladiolus imbricatus  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Gladiolus_imbricatus_CLF125307";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Gladiolus_imbricatus_CLF125307.jpg"
"Gladiolus italicus  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Gladiolus_italicus_CLF125308";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Gladiolus_italicus_CLF125308.jpg"
"Gladiolus italicus  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Gladiolus_italicus_CLF125309";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Gladiolus_italicus_CLF125309.jpg"
"Gladiolus italicus  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Gladiolus_italicus_CLF125310";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Gladiolus_italicus_CLF125310.jpg"
"Gladiolus reuteri  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Gladiolus_reuteri_CLF125311";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Gladiolus_reuteri_CLF125311.jpg"
"Iris filifolia  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Iris_filifolia_CLF125312";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Iris_filifolia_CLF125312.jpg"
"Iris filifolia  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Iris_filifolia_CLF125313";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Iris_filifolia_CLF125313.jpg"
"Iris filifolia  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Iris_filifolia_CLF125314";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Iris_filifolia_CLF125314.jpg"
"Iris foetidissima  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Iris_foetidissima_CLF125315";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Iris_foetidissima_CLF125315.jpg"
"Iris germanica  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Iris_germanica_CLF125316";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Iris_germanica_CLF125316.jpg"
"Iris graminea  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Iris_graminea_CLF125317";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Iris_graminea_CLF125317.jpg"
"Iris lutescens  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Iris_lutescens_CLF125318";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Iris_lutescens_CLF125318.jpg"
"Iris lutescens  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Iris_lutescens_CLF125319";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Iris_lutescens_CLF125319.jpg"
