"titre";"créateur";"contributeur";"sujet";"description";"editeur";"Date ";"Type ";"format";"identifiant";"Source 1";"Source 2";"langue";"Relation";"couverture";"droits";"url"
"Galeopsis bifida  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Galeopsis_bifida_CLF125516";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Galeopsis_bifida_CLF125516.jpg"
"Galeopsis bifida  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Galeopsis_bifida_CLF125517";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Galeopsis_bifida_CLF125517.jpg"
"Galeopsis ladanum  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Galeopsis_ladanum_CLF125518";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Galeopsis_ladanum_CLF125518.jpg"
"Galeopsis pyrenaica  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Galeopsis_pyrenaica_CLF125519";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Galeopsis_pyrenaica_CLF125519.jpg"
"Galeopsis speciosa  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Galeopsis_speciosa_CLF125520";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Galeopsis_speciosa_CLF125520.jpg"
"Galeopsis speciosa  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Galeopsis_speciosa_CLF125521";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Galeopsis_speciosa_CLF125521.jpg"
"Galeopsis tetrahit  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Galeopsis_tetrahit_CLF125522";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Galeopsis_tetrahit_CLF125522.jpg"
"Glechoma hederacea  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Glechoma_hederacea_CLF125523";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Glechoma_hederacea_CLF125523.jpg"
"Glechoma hirsuta  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Glechoma_hirsuta_CLF125524";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Glechoma_hirsuta_CLF125524.jpg"
"Glechoma sardoa  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Glechoma_sardoa_CLF125525";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Glechoma_sardoa_CLF125525.jpg"
"Horminum pyrenaicum  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Horminum_pyrenaicum_CLF125526";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Horminum_pyrenaicum_CLF125526.jpg"
"Horminum pyrenaicum  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Horminum_pyrenaicum_CLF125527";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Horminum_pyrenaicum_CLF125527.jpg"
"Hyssopus officinalis  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Hyssopus_officinalis_CLF125528";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Hyssopus_officinalis_CLF125528.jpg"
"Hyssopus officinalis  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Hyssopus_officinalis_CLF125529";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Hyssopus_officinalis_CLF125529.jpg"
"Hyssopus officinalis  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Hyssopus_officinalis_CLF125530";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Hyssopus_officinalis_CLF125530.jpg"
"Lamium album  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lamium_album_CLF125531";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lamium_album_CLF125531.jpg"
"Lamium amplexicaule  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lamium_amplexicaule_CLF125532";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lamium_amplexicaule_CLF125532.jpg"
"Lamium amplexicaule  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lamium_amplexicaule_CLF125533";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lamium_amplexicaule_CLF125533.jpg"
"Lamium bifidum  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lamium_bifidum_CLF125534";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lamium_bifidum_CLF125534.jpg"
"Lamium flexuosum  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lamium_flexuosum_CLF125535";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lamium_flexuosum_CLF125535.jpg"
"Lamium flexuosum  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lamium_flexuosum_CLF125536";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lamium_flexuosum_CLF125536.jpg"
"Lamium galeobdon  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lamium_galeobdon_CLF125537";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lamium_galeobdon_CLF125537.jpg"
"Lamium galeobdon  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lamium_galeobdon_CLF125538";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lamium_galeobdon_CLF125538.jpg"
"Lamium galeobdon  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lamium_galeobdon_CLF125539";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lamium_galeobdon_CLF125539.jpg"
"Lamium galeobdon  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lamium_galeobdon_CLF125540";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lamium_galeobdon_CLF125540.jpg"
"Lamium garganicum  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lamium_garganicum_CLF125541";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lamium_garganicum_CLF125541.jpg"
"Lamium garganicum  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lamium_garganicum_CLF125542";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lamium_garganicum_CLF125542.jpg"
"Lamium hybridum  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lamium_hybridum_CLF125543";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lamium_hybridum_CLF125543.jpg"
"Lamium moschatum  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lamium_moschatum_CLF125544";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lamium_moschatum_CLF125544.jpg"
"Lamium moschatum  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lamium_moschatum_CLF125545";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lamium_moschatum_CLF125545.jpg"
"Lamium purpureum  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lamium_purpureum_CLF125546";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lamium_purpureum_CLF125546.jpg"
"Lamium purpureum  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lamium_purpureum_CLF125547";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lamium_purpureum_CLF125547.jpg"
"Lavandula angustifolia  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lavandula_angustifolia_CLF125548";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lavandula_angustifolia_CLF125548.jpg"
"Lavandula coronopifolia  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lavandula_coronopifolia_CLF125549";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lavandula_coronopifolia_CLF125549.jpg"
"Lavandula dentata  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lavandula_dentata_CLF125550";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lavandula_dentata_CLF125550.jpg"
"Lavandula dentata  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lavandula_dentata_CLF125551";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lavandula_dentata_CLF125551.jpg"
"Lavandula dentata  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lavandula_dentata_CLF125552";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lavandula_dentata_CLF125552.jpg"
"Lavandula dentata  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lavandula_dentata_CLF125553";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lavandula_dentata_CLF125553.jpg"
"Lavandula latifolia  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lavandula_latifolia_CLF125554";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lavandula_latifolia_CLF125554.jpg"
"Lavandula latifolia  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lavandula_latifolia_CLF125555";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lavandula_latifolia_CLF125555.jpg"
"Lavandula x intermedia  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lavandula_x intermedia_CLF125556";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lavandula_x_intermedia_CLF125556.jpg"
"Lavandula lanata  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lavandula_lanata_CLF125557";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lavandula_lanata_CLF125557.jpg"
"Lavandula mairei  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lavandula_mairei_CLF125558";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lavandula_mairei_CLF125558.jpg"
"Lavandula mairei  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lavandula_mairei_CLF125559";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lavandula_mairei_CLF125559.jpg"
"Lavandula mairei  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lavandula_mairei_CLF125560";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lavandula_mairei_CLF125560.jpg"
"Lavandula multifida  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lavandula_multifida_CLF125561";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lavandula_multifida_CLF125561.jpg"
"Lavandula multifida  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lavandula_multifida_CLF125562";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lavandula_multifida_CLF125562.jpg"
"Lavandula multifida  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lavandula_multifida_CLF125563";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lavandula_multifida_CLF125563.jpg"
"Lavandula multifida  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lavandula_multifida_CLF125564";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lavandula_multifida_CLF125564.jpg"
"Lavandula stoechas  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lavandula_stoechas_CLF125565";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lavandula_stoechas_CLF125565.jpg"
"Lavandula stoechas  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lavandula_stoechas_CLF125566";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lavandula_stoechas_CLF125566.jpg"
"Lavandula stoechas  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lavandula_stoechas_CLF125567";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lavandula_stoechas_CLF125567.jpg"
"Lavandula stoechas  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lavandula_stoechas_CLF125568";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lavandula_stoechas_CLF125568.jpg"
"Lavandula stoechas  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lavandula_stoechas_CLF125569";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lavandula_stoechas_CLF125569.jpg"
"Lavandula stoechas  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lavandula_stoechas_CLF125570";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lavandula_stoechas_CLF125570.jpg"
"Lavandula luisieri  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lavandula_luisieri_CLF125571";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lavandula_luisieri_CLF125571.jpg"
"Lavandula stoechas  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lavandula_stoechas_CLF125572";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lavandula_stoechas_CLF125572.jpg"
"Lavandula stoechas  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lavandula_stoechas_CLF125573";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lavandula_stoechas_CLF125573.jpg"
"Lavandula stoechas  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lavandula_stoechas_CLF125574";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lavandula_stoechas_CLF125574.jpg"
"Lavandula vera  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lavandula_vera_CLF125575";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lavandula_vera_CLF125575.jpg"
"Lavandula stoechas  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lavandula_stoechas_CLF125576";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lavandula_stoechas_CLF125576.jpg"
"Lavandula viridis  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lavandula_viridis_CLF125577";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lavandula_viridis_CLF125577.jpg"
"Lavandula viridis  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lavandula_viridis_CLF125578";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lavandula_viridis_CLF125578.jpg"
"Leonurus cardiaca  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Leonurus_cardiaca_CLF125579";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Leonurus_cardiaca_CLF125579.jpg"
"Leonurus cardiaca  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Leonurus_cardiaca_CLF125580";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Leonurus_cardiaca_CLF125580.jpg"
"Leonurus cardiaca  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Leonurus_cardiaca_CLF125581";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Leonurus_cardiaca_CLF125581.jpg"
"Lycopus europaeus  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lycopus_europaeus_CLF125582";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lycopus_europaeus_CLF125582.jpg"
"Lycopus europaeus  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lycopus_europaeus_CLF125583";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lycopus_europaeus_CLF125583.jpg"
"Lycopus europaeus  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lycopus_europaeus_CLF125584";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lycopus_europaeus_CLF125584.jpg"
"Lycopus europaeus  (Lamiaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Lamiaceae_Lycopus_europaeus_CLF125585";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Lamiaceae_Lycopus_europaeus_CLF125585.jpg"
