"titre";"créateur";"contributeur";"sujet";"description";"editeur";"Date ";"Type ";"format";"identifiant";"Source";"langue";"Relation";"couverture";"droits";"Nom du fichier";"url"
"Potentilla caulescens cebennensis (Rosaceae)";"Felzines";;;;"Herbiers universitaires de Clermont-Ferrand";1996;"still image";"image/jpeg";"Rosaceae_Potentilla_caulescens_cebennensis_CLF113188";"Bibliothèque Université Clermont auvergne";"fre";;"Montpellier-le-Vieux";"Domaine public";"Rosaceae_Potentilla_caulescens_cebennensis_CLF113188.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_caulescens_cebennensis_CLF113188.jpg"
"Potentilla crantzi (Rosaceae)";"Felzines";;;;"Herbiers universitaires de Clermont-Ferrand";1983;"still image";"image/jpeg";"Rosaceae_Potentilla_crantzi_CLF113194";"Bibliothèque Université Clermont auvergne";"fre";;"Abriès, Valpréveyre";"Domaine public";"Rosaceae_Potentilla_crantzi_CLF113194.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_crantzi_CLF113194.jpg"
"Potentilla erecta (Rosaceae)";"Felzines";;;;"Herbiers universitaires de Clermont-Ferrand";1990;"still image";"image/jpeg";"Rosaceae_Potentilla_erecta_CLF113187";"Bibliothèque Université Clermont auvergne";"fre";;"Montigny-aux-Amognes";"Domaine public";"Rosaceae_Potentilla_erecta_CLF113187.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_erecta_CLF113187.jpg"
"Potentilla fragariastrum (Rosaceae)";"Jean-Baptiste";;;;"Herbiers universitaires de Clermont-Ferrand";1936;"still image";"image/jpeg";"Rosaceae_Potentilla_fragariastrum_CLF113204";"Bibliothèque Université Clermont auvergne";"fre";;"Saint Saulge";"Domaine public";"Rosaceae_Potentilla_fragariastrum_CLF113204.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_fragariastrum_CLF113204.jpg"
"Potentilla grandiflora (Rosaceae)";"Boivin";;;;"Herbiers universitaires de Clermont-Ferrand";1947;"still image";"image/jpeg";"Rosaceae_Potentilla_grandiflora_CLF113199";"Bibliothèque Université Clermont auvergne";"fre";;"Peisey";"Domaine public";"Rosaceae_Potentilla_grandiflora_CLF113199.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_grandiflora_CLF113199.jpg"
"Potentilla micrantha (Rosaceae)";"Felzines";;;;"Herbiers universitaires de Clermont-Ferrand";1980;"still image";"image/jpeg";"Rosaceae_Potentilla_micrantha_CLF113197";"Bibliothèque Université Clermont auvergne";"fre";;"Val Suzon";"Domaine public";"Rosaceae_Potentilla_micrantha_CLF113197.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_micrantha_CLF113197.jpg"
"Potentilla norvegica monspeliensis (Rosaceae)";"Felzines";;;;"Herbiers universitaires de Clermont-Ferrand";1997;"still image";"image/jpeg";"Rosaceae_Potentilla_norvegica_monspeliensis_CLF113186";"Bibliothèque Université Clermont auvergne";"fre";;"Chaumard";"Domaine public";"Rosaceae_Potentilla_norvegica_monspeliensis_CLF113186.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_norvegica_monspeliensis_CLF113186.jpg"
"Potentilla norvegica monspeliensis (Rosaceae)";"Felzines";;;;"Herbiers universitaires de Clermont-Ferrand";1998;"still image";"image/jpeg";"Rosaceae_Potentilla_norvegica_monspeliensis_CLF113185";"Bibliothèque Université Clermont auvergne";"fre";;"Corancy, les Moulins";"Domaine public";"Rosaceae_Potentilla_norvegica_monspeliensis_CLF113185.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_norvegica_monspeliensis_CLF113185.jpg"
"Potentilla recta (Rosaceae)";"Jean-Baptiste";;;;"Herbiers universitaires de Clermont-Ferrand";1932;"still image";"image/jpeg";"Rosaceae_Potentilla_recta_CLF113205";"Bibliothèque Université Clermont auvergne";"fre";;"Varennes-Vauzelles, Vauzelles";"Domaine public";"Rosaceae_Potentilla_recta_CLF113205.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_recta_CLF113205.jpg"
"Potentilla rupestris (Rosaceae)";"Le Grand";;;;"Herbiers universitaires de Clermont-Ferrand";1894;"still image";"image/jpeg";"Rosaceae_Potentilla_rupestris_CLF113203";"Bibliothèque Université Clermont auvergne";"fre";;"Saint Chamond";"Domaine public";"Rosaceae_Potentilla_rupestris_CLF113203.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Potentilla_rupestris_CLF113203.jpg"
