"titre";"créateur";"contributeur";"sujet";"description";"editeur";"Date ";"Type ";"format";"identifiant";"Source";"langue";"Relation";"couverture";"droits";"Nom du fichier";"url"
"Malzieu, Mathias (1974-…)";"Malzieu, Mathias (1974-…)";;;"Livre : Journal d'un vampire en pyjama, Albin Michel, 2016";"Librairie Les Volcans";42774;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Debaty, Vincent (1981-…) et Lopez, Camille (1989-…)";"Debaty, Vincent (1981-…) et Lopez, Camille (1989-…)";;;"Signatures pour le Livre de Gervais Loock et Yves Meunier, Sorciers du bouclier, Revoir, 2017";"Librairie Les Volcans";43035;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Bouchardy, Christian (…-…)";"Bouchardy, Christian (…-…)";;;"Livre : L'Auvergne, De Borée, 2017";"Librairie Les Volcans";43043;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Sorman, Joy (1973-…)";"Sorman, Joy (1973-…)";;;"Livre : Sciences de la vie, Seuil, 2017";"Librairie Les Volcans";43057;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Le Tellier, Hervé (1957-…)";"Le Tellier, Hervé (1957-…)";;;"Conférence en partenariat avec la Semaine de la poésie";"Librairie Les Volcans";43071;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Mordillat, Gérard (1949-,,,)";"Mordillat, Gérard (1949-,,,)";;;"Livre : La Tour abolie, Albin Michel, 2017";"Librairie Les Volcans";43078;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Metoui, Lassaâd (1963-…)";"Metoui, Lassaâd (1963-…)";;;"Démonstration de calligraphie";"Librairie Les Volcans";43085;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"ara";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Lopez, David (1985-…)";"Lopez, David (1985-…)";;;"Livre : Fief, Seuil, 2017";"Librairie Les Volcans";43089;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Kahn, Axel (1944-,,,)";"Kahn, Axel (1944-,,,)";;;"Livre : Jean, un homme hors du temps, Stock, 2017";"Librairie Les Volcans";43188;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Musso, Guillaume (1974-,,,)";"Musso, Guillaume (1974-,,,)";;;"Livre : La Jeune fille et la Nuit";"Librairie Les Volcans";43257;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Pivot, Bernard (1935-…)";"Pivot, Bernard (1935-…)";;;"Livre : Lire! Avec Cécile Pivot";"Librairie Les Volcans";43265;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Pivot, Cécile (,,,-,,,)";"Pivot, Cécile (,,,-,,,)";;;"Livre : Lire! Avec Bernard Pivot";"Librairie Les Volcans";43265;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Hollande, François (1954-,,,)";"Hollande, François (1954-,,,)";;;"Livre : Les Leçons du pouvoir, Stock, 2018";"Librairie Les Volcans";43271;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Bobin, Christian (1951-…)";"Bobin, Christian (1951-…)";;;"Livre : La Nuit du cœur, Gallimard, 2018";"Librairie Les Volcans";43445;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Scheyder, Patrick (…-…)";"Scheyder, Patrick (…-…)";;;"Accompagnateur musical de M. Lonsdale";"Librairie Les Volcans";43447;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
