"titre";"créateur";"contributeur";"sujet";"description";"editeur";"Date ";"Type ";"format";"identifiant";"Source";"langue";"Relation";"couverture";"droits";"Nom du fichier";"url"
"Carex vesicaria (Cyperaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"16 6 1897|1897";"still image";"image/jpeg";"Carex_vesicaria_CLF094527";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Carex_vesicaria_CLF094527.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Carex_vesicaria_CLF094527.jpg"
"Carex paludosa (Cyperaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";" 6 1898|1898";"still image";"image/jpeg";"Carex_paludosa_CLF094528";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Carex_paludosa_CLF094528.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Carex_paludosa_CLF094528.jpg"
"Carex glauca (Cyperaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";" 6 1897|1897";"still image";"image/jpeg";"Carex_glauca_CLF094529";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Carex_glauca_CLF094529.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Carex_glauca_CLF094529.jpg"
"Carex pilulifera (Cyperaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";" 6 1896|1896";"still image";"image/jpeg";"Carex_pilulifera_CLF094530";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Carex_pilulifera_CLF094530.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Carex_pilulifera_CLF094530.jpg"
"Carex hirta (Cyperaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"12 7 1898|1898";"still image";"image/jpeg";"Carex_hirta_CLF094531";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Carex_hirta_CLF094531.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Carex_hirta_CLF094531.jpg"
"Carex acuta (Cyperaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"10 6 1899|1899";"still image";"image/jpeg";"Carex_acuta_CLF094532";"Bibliothèque Université Clermont Auvergne";"fre";;"Acy-Romance, Ardennes, France";"Domaine public";"Carex_acuta_CLF094532.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Carex_acuta_CLF094532.jpg"
"Scirpus maritimus (Cyperaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"6 6 1899|1899";"still image";"image/jpeg";"Scirpus_maritimus_CLF094533";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Scirpus_maritimus_CLF094533.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Scirpus_maritimus_CLF094533.jpg"
"Scirpus sylvaticus (Cyperaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";" 7 1898|1898";"still image";"image/jpeg";"Scirpus_sylvaticus_CLF094534";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Scirpus_sylvaticus_CLF094534.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Scirpus_sylvaticus_CLF094534.jpg"
"Scirpus lacustris (Cyperaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"12 7 1897|1897";"still image";"image/jpeg";"Scirpus_lacustris_CLF094535";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Scirpus_lacustris_CLF094535.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Scirpus_lacustris_CLF094535.jpg"
"Scirpus compressus (Cyperaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"6 6 1898|1898";"still image";"image/jpeg";"Scirpus_compressus_CLF094536";"Bibliothèque Université Clermont Auvergne";"fre";;"Barby, Ardennes, France";"Domaine public";"Scirpus_compressus_CLF094536.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Scirpus_compressus_CLF094536.jpg"
"Typha latifolia (Typhaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";" 7 1897|1897";"still image";"image/jpeg";"Typha_latifolia_CLF094537";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Typha_latifolia_CLF094537.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Typha_latifolia_CLF094537.jpg"
"Polygala vulgaris (Polygalaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"  1898|1898";"still image";"image/jpeg";"Polygala_vulgaris_CLF094538";"Bibliothèque Université Clermont Auvergne";"fre";;"Chooz, Ardennes, France";"Domaine public";"Polygala_vulgaris_CLF094538.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Polygala_vulgaris_CLF094538.jpg"
"Polygala vulgaris (Polygalaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"8 6 1897|1897";"still image";"image/jpeg";"Polygala_vulgaris_CLF094539";"Bibliothèque Université Clermont Auvergne";"fre";;"L' Échelle, Ardennes, France";"Domaine public";"Polygala_vulgaris_CLF094539.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Polygala_vulgaris_CLF094539.jpg"
"Potamogeton natans (Potamogetonaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"12 7 1897|1897";"still image";"image/jpeg";"Potamogeton_natans_CLF094540";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Potamogeton_natans_CLF094540.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Potamogeton_natans_CLF094540.jpg"
"Potamogeton perfoliatus (Potamogetonaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"6 6 1899|1899";"still image";"image/jpeg";"Potamogeton_perfoliatus_CLF094541";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Potamogeton_perfoliatus_CLF094541.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Potamogeton_perfoliatus_CLF094541.jpg"
"Pyrola rotundifolia (Ericaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";" 6 0|0";"still image";"image/jpeg";"Pyrola_rotundifolia_CLF094542";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Pyrola_rotundifolia_CLF094542.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Pyrola_rotundifolia_CLF094542.jpg"
