"TITN";"EDITEUR";"DATE DE PUBLICATION";"TITRE";"SOUS-TITRE";"COLLECTION";"NUMÉRO";"NOM AUTEUR";"PRENOM AUTEUR";"LANGUE";;"AUTEUR1";"AUTEUR2";"DATE";"PAGES";"HAUTEUR";"COLLECTION";"Type";"Langue";"Format";"Droits";"IDENTIFIANT";"SOURCE";"URL"
"(OCoLC)690371997; 1109810";"Editions du ""Petit Echo de la Mode""";"1923 ?";"Monsieur et madame Fernel";;"Collection Stella";81;"Ulbach";"Louis";"fre";"text";"Ulbach, Louis (1822-1889) ";;"[1923?] ";"192 p.";"18 cm";"Collection Stella ; 81";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_81_C92590_1109810";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_81_C92590_1109810.pdf"
"(OCoLC)690551619; 1109819";"Editions du ""Petit Echo de la Mode""";1923;"L'autre route";;"Collection Stella";85;"Humilly de Chevilly";"Marie d'";"fre";"text";"Humilly de Chevilly, Marie d' (18..-19..) ";;"[1923] ";"190 p. ";"18 cm";"Collection Stella ; 85";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_85_C92593_1109819";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_85_C92593_1109819.pdf"
"(OCoLC)690372531; 1109828";"Editions du ""Petit écho de la Mode""";"1923 ?";"L'amour attend...";;"Collection Stella";87;"Star";"René";"fre";"text";"Star, René (18..-19..) ";;"[1923?] ";"159 p. ";"18 cm";"Collection Stella ; 87";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_87_C92594_1109828";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_87_C92594_1109828.pdf"
"(OCoLC)690373537; 1109877";"Editions du ""Petit Echo de la Mode""";1923;"La branche de romarin";;"Collection Stella";91;"Puliga";"Henrietta de Quigini";"fre";"text";"Puliga, Henrietta de Quigini (1847-1938) ";;"© 1923";"160 p. ";"18 cm";"Collection Stella ; 91";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_91_C92596_1109877";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_91_C92596_1109877.pdf"
"(OCoLC)690388209; 1110025";"Editions du ""Petit Echo de la Mode""";"1924 ?";"Mariages d'aujourd'hui";;"Collection Stella";95;"Madame Lescot";;"fre";"text";"Madame Lescot (18..-19..) ";;"[1924?] ";"191 p.";"18 cm";"Collection Stella ; 95";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_95_C92597_1110025";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_95_C92597_1110025.pdf"
"(OCoLC)458280848; 1110056";"Editions du ""Petit Echo de la Mode""";"1923 ?";"Sous leurs pas";;"Collection Stella";88;"Bouvet";"Marie-Louise";"fre";"text";"Bouvet, Marie-Louise (1869-1954) ";;"[1923?] ";"159 p. ";"19 cm";"Collection Stella ; 88";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_88_C92595_1110056";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_88_C92595_1110056.pdf"
"(OCoLC)690389936; 1110062";"Editions du ""Petit Echo de la Mode""";"1924 ?";"Dans l'ombre de mes jours";;"Collection Stella";96;"Des Gachons";"Jacques";"fre";"text";"Des Gachons, Jacques (1868-1945) ";;"[1924?] ";"158 p.";"18 cm";"Collection Stella ; 96";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_96_C92598_1110062";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_96_C92598_1110062.pdf"
"(OCoLC)690390069; 1110064";"Editions du ""Petit Echo de la Mode""";1924;"Arlette jeune fille moderne";;"Collection Stella";97;"Trilby";"T.";"fre";"text";"Trilby, T. (1875-1962) ";;"[1924] ";"192 p.";"18 cm";"Collection Stella ; 97";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_97_C92599_1110064";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_97_C92599_1110064.pdf"
"(OCoLC)690390235; 1110066";"Editions du ""Petit Echo de la Mode""";1924;"Dernier atout";;"Collection Stella";100;"Floran";"Mary";"fre";"text";"Floran, Mary (1856-1934) ";;"[1924] ";"160 p. ";"18 cm";"Collection Stella ; 100";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_100_C92601_1110066";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_100_C92601_1110066.pdf"
"(OCoLC)690390618; 1110088";"Editions du ""Petit Echo de la Mode""";1924;"Idylle nuptiale";;"Collection Stella";103;"Caro";"Pauline";"fre";"text";"Caro, Pauline (1828-1901) ";;1924;"192 p.";"18 cm";"Collection Stella ; 103";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_103_C92602_1110088";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_103_C92602_1110088.pdf"
"(OCoLC)690392721; 1110093";"Editions du ""Petit Echo de la Mode""";"1924 ?";"Laquelle ?";;"Collection Stella";107;"Léra";"Marie";"fre";"text";"Anin, Jean d' (1864-195.?) ";;"[1924?] ";"159 p. ";"18 cm";"Collection Stella ; 107";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_107_C92603_1110093";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_107_C92603_1110093.pdf"
"(OCoLC)689500008;sib0389339; 1110096";"Editions du ""Petit Echo de la Mode""";"1924 ?";"L'heure du bonheur";;"Collection Stella";112;"Augé";"Lucy";"fre";"text";"Augé, Lucy (18..-19..) ";;"[1924?] ";"158 p.";"18 cm";"Collection Stella ; 112";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_112_C92604_1110096";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_112_C92604_1110096.pdf"
"(OCoLC)690393560; 1110104";"Editions du ""Petit Echo de la Mode""";"1924 ?";"Mère et fils";;"Collection Stella";114;"Craik";"Dinah Maria Mulock";"fre";"text";"Craik, Dinah Maria Mulock (1826-1887) ";;"[1924?] ";"159 p. ";"18 cm";"Collection Stella ; 114";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_114_C92605_1110104";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_114_C92605_1110104.pdf"
"(OCoLC)690394028; 1110113";"Editions du ""Petit Echo de la Mode""";"1924 ?";"L'embardée";;"Collection Stella";115;"Saint-Romain";"Jean";"fre";"text";"Saint-Romain, Jean (18..-19..) ";;"[1924?] ";"160 p. ";"18 cm";"Collection Stella ; 115";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_115_C92607_1110113";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_115_C92607_1110113.pdf"
"(OCoLC)690395064; 1110117";"Editions du ""Petit Echo de la Mode""";"1925 ?";"L'ennemie";;"Collection Stella";116;"Fid";"Jean";"fre";"text";"Fid, Jean (18..-19..) ";;"[1925?] ";"191 p.";"18 cm";"Collection Stella ; 116";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_116_C92608_1110117";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_116_C92608_1110117.pdf"
"(OCoLC)690552180; 1110118";"Editions du ""Petit Echo de la Mode""";1925;"Le finale de la symphonie";;"Collection Stella";117;"Tinseau";"Léon de";"fre";"text";"Tinseau, Léon de (1844-1921) ";;"[1925] ";"160 p. ";"18 cm";"Collection Stella ; 117";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_117_C92609_1110118";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_117_C92609_1110118.pdf"
"(OCoLC)690395324; 1110121";"Editions du ""Petit Echo de la Mode""";"1925 ?";"Le hibou des ruines";;"Collection Stella";118;"Vertiol";"Andrée";"fre";"text";"Vertiol, Andrée ";;"[1925?] ";"159 p. ";"18 cm";"Collection Stella ; 118";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_118_C92610_1110121";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_118_C92610_1110121.pdf"
"(OCoLC)690412788; 1110349";"Editions du ""Petit Echo de la Mode""";"1925 ?";"Mort ou vivant ?...";;"Collection Stella";120;"Bouvet";"Marie-Louise";"fre";"text";"Bouvet, Marie-Louise (1869-1954) ";"Martial, Hélène ";"[1925?] ";"160 p. ";"18 cm";"Collection Stella ; 120";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_120_C92611_1110349";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_120_C92611_1110349.pdf"
"(OCoLC)689499999;sib0389336; 1110351";"Editions du ""Petit Echo de la Mode""";"1925 ?";"Femme de lettres";;"Collection Stella";121;"Floran";"Mary";"fre";"text";"Floran, Mary (1856-1934) ";;"[1925?] ";"159 p. ";"18 cm";"Collection Stella ; 121";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_121_C92612_1110351";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_121_C92612_1110351.pdf"
"(OCoLC)458381506;sib0389451; 1110365";"Editions du ""Petit Echo de la Mode""";1925;"Le droit d'aimer";;"Collection Stella";122;"Trilby";"T.";"fre";"text";"Trilby, T. (1875-1962) ";;"[1925] ";"192 p.";"18 cm";"Collection Stella ; 122";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_122_C92613_1110365";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_122_C92613_1110365.pdf"
"(OCoLC)690413562; 1110372";"Editions du ""Petit Echo de la Mode""";"1925 ?";"La victoire d'Arlette";;"Collection Stella";126;"Heuzey";"Juliette";"fre";"text";"Heuzey, Juliette (1865-1952) ";;"[1925?] ";"192 p.";"18 cm";"Collection Stella ; 126";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_126_C92614_1110372";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_126_C92614_1110372.pdf"
"(OCoLC)690413725; 1110375";"Editions du ""Petit Echo de la Mode""";1925;"Le cadet";;"Collection Stella";129;"Humilly de Chevilly";"Marie d'";"fre";"text";"Humilly de Chevilly, Marie d' (18..-19..) ";;"[1925] ";"190 p. ";"18 cm";"Collection Stella ; 129";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_129_C92615_1110375";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_129_C92615_1110375.pdf"
"(OCoLC)690413853; 1110380";"Editions du ""Petit Echo de la Mode""";1925;"Irène";;"Collection Stella";130;"Bergy";"Emile";"fre";"text";"Bergy, Emile (18..-19..) ";;"[1925] ";"190 p. ";"18 cm";"Collection Stella ; 130";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_130_C92616_1110380";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_130_C92616_1110380.pdf"
"(OCoLC)690414222; 1110385";"Editions du ""Petit Echo de la Mode""";1925;"La mission de Marie-Ange";;"Collection Stella";132;"Dubarry";"André";"fre";"text";"Dubarry, André (18..-19..) ";;"[1925] ";"158 p.";"18 cm";"Collection Stella ; 132";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_132_C92617_1110385";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_132_C92617_1110385.pdf"
"(OCoLC)458280951; 1110425";"Editions du ""Petit Echo de la Mode""";1925;"L'ombre du passé";;"Collection Stella";133;"Bouvet";"Marie-Louise";"fre";"text";"Bouvet, Marie-Louise (1869-1954) ";;"[1925] ";"158 p.";"18 cm";"Collection Stella ; 133";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_133_C92619_1110425";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_133_C92619_1110425.pdf"
"(OCoLC)689500002;sib0389338; 1110430";"Editions du ""Petit Echo de la Mode""";1925;"Le mariage de Rose Duprey";;"Collection Stella";134;"Arvor";"Gabrielle d'";"fre";"text";"Arvor, Gabrielle d' (18..-19..) ";;"[1925] ";"158 p.";"18 cm";"Collection Stella ; 134";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_134_C92621_1110430";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_134_C92621_1110430.pdf"
"(OCoLC)690420080; 1110431";"Editions du ""Petit Echo de la Mode""";"1925 ?";"Petite Belle";;"Collection Stella";136;"Fleuriot";"Zénaïde";"fre";"text";"Fleuriot, Zénaïde (1829-1890) ";;"[1925?] ";"158 p.";"18 cm";"Collection Stella ; 136";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_136_C92622_1110431";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_136_C92622_1110431.pdf"
"(OCoLC)690420466; 1110438";"Editions du ""Petit Echo de la Mode""";1925;"Le coeur chemine";;"Collection Stella";137;"Loubens de Verdalle";"Clotilde de";"fre";"text";"Loubens de Verdalle, Clotilde de (18..-19..) ";;"[1925] ";"157 p.";"18 cm";"Collection Stella ; 137";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_137_C92623_1110438";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_137_C92623_1110438.pdf"
"(OCoLC)458280818; 1110442";"Editions du ""Petit Echo de la Mode""";1925;"A grande vitesse";;"Collection Stella";138;"Bouvet";"Marie-Louise";"fre";"text";"Bouvet, Marie-Louise (1869-1954) ";;"[1925] ";"158 p.";"18 cm";"Collection Stella ; 138";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_138_C92624_1110442";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_138_C92624_1110442.pdf"
"(OCoLC)690420886; 1110449";"Editions du ""Petit Echo de la Mode""";1925;"Le secret de la forêt";;"Collection Stella";139;"Kerlecq";"Jean de";"fre";"text";"Kerlecq, Jean de (1882-1969) ";;"[1925] ";"158 p.";"18 cm";"Collection Stella ; 139";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_139_C92625_1110449";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_139_C92625_1110449.pdf"
"(OCoLC)690421191; 1110457";"Editions du ""Petit Echo de la Mode""";1926;"Le logis";;"Collection Stella";141;"Lys";"Georges de";"fre";"text";"Lys, Georges de (1855-1931) ";;"[1926] ";"156 p.";"18 cm";"Collection Stella ; 141";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_141_C92626_1110457";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_141_C92626_1110457.pdf"
"(OCoLC)690421324; 1110462";"Editions du ""Petit Echo de la Mode""";1926;"Bonheur méconnu";;"Collection Stella";142;"Floran";"Mary";"fre";"text";"Floran, Mary (1856-1934) ";;"[1926] ";"158 p.";"18 cm";"Collection Stella ; 142";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_142_C92627_1110462";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_142_C92627_1110462.pdf"
"(OCoLC)689817983;sib1321016; 1110470";"Editions du ""Petit Echo de la Mode""";1926;"Un héritage";;"Collection Stella";143;"Monthéas";"Jean de";"fre";"text";"Monthéas, Jean de (18..-19..) ";;"[1926] ";"157 p.";"18 cm";"Collection Stella ; 143";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_143_C92628_1110470";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_143_C92628_1110470.pdf"
"(OCoLC)458382253; 1110473";"Editions du ""Petit Echo de la Mode""";1926;"La roue du moulin";;"Collection Stella";144;"Trilby";"T.";"fre";"text";"Trilby, T. (1875-1962) ";;"[1926] ";"157 p.";"18 cm";"Collection Stella ; 144";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_144_C92630_1110473";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_144_C92630_1110473.pdf"
"(OCoLC)690423091; 1110476";"Editions du ""Petit Echo de la Mode""";1926;"Pour sauver Denise !";;"Collection Stella";145;"Dreyer";"Antony";"fre";"text";"Dreyer, Antony (18..-19..) ";;"[1926] ";"157 p.";"18 cm";"Collection Stella ; 145";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_145_C92632_1110476";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_145_C92632_1110476.pdf"
"(OCoLC)689543486;sib0624737; 1110478";"Editions du ""Petit Echo de la Mode""";1926;"Coeur d'or";;"Collection Stella";149;"Wailly";"Marie de";"fre";"text";"Wailly, Marie de (1880-1964) ";;"[1926] ";"158 p.";"18 cm";"Collection Stella ; 149";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_149_C92633_1110478";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_149_C92633_1110478.pdf"
"(OCoLC)690423360; 1110479";"Editions du ""Petit Echo de la Mode""";1926;"Le coeur de Ludivine";;"Collection Stella";152;"Fid";"Jean";"fre";"text";"Fid, Jean (18..-19..) ";;"[1926] ";"158 p.";"18 cm";"Collection Stella ; 152";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_152_C92634_1110479";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_152_C92634_1110479.pdf"
"(OCoLC)458280836; 1110482";"Editions du ""Petit Echo de la Mode""";1926;"L'idée de Suzie";;"Collection Stella";158;"Bouvet";"Marie-Louise";"fre";"text";"Bouvet, Marie-Louise (1869-1954) ";;"[1926] ";"157 p.";"18 cm";"Collection Stella ; 158";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_158_C92635_1110482";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_158_C92635_1110482.pdf"
"(OCoLC)690423583; 1110484";"Editions du ""Petit Echo de la Mode""";1926;"Fidèle à son rêve";;"Collection Stella";159;"Floran";"Mary";"fre";"text";"Floran, Mary (1856-1934) ";;"[1926] ";"156 p.";"18 cm";"Collection Stella ; 159";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_159_C92636_1110484";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_159_C92636_1110484.pdf"
"(OCoLC)689507103;sib0391191; 1110487";"Editions du ""Petit Echo de la Mode""";1926;"Le prince d'ombre";;"Collection Stella";161;"Bruyère";"André";"fre";"text";"Bruyère, André (1882-1962) ";;"[1926] ";"158 p.";"18 cm";"Collection Stella ; 161";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_161_C92637_1110487";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_161_C92637_1110487.pdf"
"(OCoLC)458382234;sib1322612; 1110490";"Editions du ""Petit Echo de la Mode""";1926;"Le retour";;"Collection Stella";163;"Trilby";"T.";"fre";"text";"Trilby, T. (1875-1962) ";;"[1926] ";"190 p. ";"18 cm";"Collection Stella ; 163";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_163_C92638_1110490";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_163_C92638_1110490.pdf"
"(OCoLC)689507108;sib0391193; 1110496";"Editions du ""Petit Echo de la Mode""";1927;"Colomba";;"Collection Stella";169;"Mérimée";"Prosper";"fre";"text";"Mérimée, Prosper (1803-1870) ";"Caen, Louis de (18..-19..) ";"[1927] ";"158 p.";"18 cm";"Collection Stella ; 169";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_169_C92639_1110496";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_169_C92639_1110496.pdf"
"(OCoLC)690426033; 1110502";"Editions du ""Petit Echo de la Mode""";1927;"La maison sur le roc";;"Collection Stella";170;"Coulomb";"Jeanne de";"fre";"text";"Coulomb, Jeanne de (1864 -1945) ";;"[1927] ";"190 p. ";"18 cm";"Collection Stella ; 170";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_170_C92640_1110502";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_170_C92640_1110502.pdf"
"(OCoLC)689853733;sib1494715; 1110504";"Editions du ""Petit Echo de la Mode""";1927;"Orgueil vaincu";;"Collection Stella";173;"Floran";"Mary";"fre";"text";"Floran, Mary (1856-1934) ";;"[1927] ";"158 p.";"18 cm";"Collection Stella ; 173";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_173_C92641_1110504";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_173_C92641_1110504.pdf"
"(OCoLC)690426138; 1110508";"Editions du ""Petit Echo de la Mode""";1927;"Les deux cahiers";;"Collection Stella";174;"Acker";"Paul";"fre";"text";"Acker, Paul (1874-1915) ";;"[1927] ";"158 p.";"18 cm";"Collection Stella ; 174";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_174_C92643_1110508";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_174_C92643_1110508.pdf"
"(OCoLC)689853710;sib1492398; 1110510";"Editions du ""Petit Echo de la Mode""";1927;"Le château des tempêtes";;"Collection Stella";179;"Bruyère";"André";"fre";"text";"Bruyère, André (1882-1962) ";;"[1927] ";"190 p. ";"18 cm";"Collection Stella ; 179";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_179_C92645_1110510";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_179_C92645_1110510.pdf"
"(OCoLC)690552399; 1110513";"Editions du ""Petit Echo de la Mode""";1927;"L'amour en deuil";;"Collection Stella";181;"Soy";"Emmanuel";"fre";"text";"Soy, Emmanuel (18..-19..) ";;"[1927] ";"190 p. ";"18 cm";"Collection Stella ; 181";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_181_C92646_1110513";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_181_C92646_1110513.pdf"
"(OCoLC)458280852; 1110520";"Editions du ""Petit Echo de la Mode""";1927;"Une heure sonnera...";;"Collection Stella";183;"Bouvet";"Marie-Louise";"fre";"text";"Bouvet, Marie-Louise (1869-1954) ";"Martial, Hélène ";"[1927] ";"158 p.";"18 cm";"Collection Stella ; 183";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_183_C92648_1110520";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_183_C92648_1110520.pdf"
"(OCoLC)690426932; 1110558";"Editions du ""Petit Echo de la Mode""";1927;"Petite maison, grand bonheur";;"Collection Stella";186;"Junka";"Paul";"fre";"text";"Junka, Paul (18..-19..) ";;"[1927] ";"190 p. ";"18 cm";"Collection Stella ; 186";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_186_C92649_1110558";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_186_C92649_1110558.pdf"
"(OCoLC)690428054; 1110570";"Editions du ""Petit Echo de la Mode""";1928;"Marguerite";;"Collection Stella";188;"Aigueperse";"Mathilde";"fre";"text";"Aigueperse, Mathilde (1854-1924) ";;"[1928] ";"157 p.";"18 cm";"Collection Stella ; 188";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_188_C92650_1110570";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_188_C92650_1110570.pdf"
"(OCoLC)690428249; 1110575";"Editions du ""Petit Echo de la Mode""";1928;"L'amour quand même";;"Collection Stella";190;"Loubens de Verdalle";"Clotilde de";"fre";"text";"Loubens de Verdalle, Clotilde de (18..-19..) ";;"[1928] ";"158 p.";"18 cm";"Collection Stella ; 190";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_190_C92651_1110575";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_190_C92651_1110575.pdf"
"(OCoLC)690428717; 1110585";"Editions du ""Petit Echo de la Mode""";1928;"Souffrir pour vaincre";;"Collection Stella";191;"Carey";"Rosa Nouchette";"fre";"text";"Carey, Rosa Nouchette (1840-1909) ";;"[1928] ";"157 p.";"18 cm";"Collection Stella ; 191";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_191_C92652_1110585";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_191_C92652_1110585.pdf"
"(OCoLC)690428892; 1110588";"Editions du ""Petit Echo de la Mode""";1928;"Les liens brisés";;"Collection Stella";193;"Mauclère";"Jean";"fre";"text";"Mauclère, Jean (1887-1951) ";;"[1928] ";"190 p. ";"18 cm";"Collection Stella ; 193";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_193_C92653_1110588";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_193_C92653_1110588.pdf"
