"TITN";"EDITEUR";"DATE DE PUBLICATION";"TITRE";"SOUS-TITRE";"COLLECTION";"NUMÉRO";"NOM AUTEUR";"PRENOM AUTEUR";"LANGUE";;"AUTEUR1";"AUTEUR2";"DATE";"PAGES";"HAUTEUR";"COLLECTION";"Type";"Langue";"Format";"Droits";"IDENTIFIANT";"SOURCE";"URL"
"(OCoLC)689499884;sib0389283; 109572";"Editions du ""Petit Echo de la Mode""";"1921 ?";"Bonsoir Madame la Lune";;"Collection Stella";23;"Bouvet";"Marie-Louise";"fre";"text";"Bouvet, Marie-Louise (1869-1954) ";;"[1921?] ";"160 p. ";"18 cm";"Collection Stella ; 23";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_23_C92544_1109572";;"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_23_C92544_1109572.pdf"
"(OCoLC)690350230; 1109601";"Editions du ""Petit Echo de la Mode""";"1921 ?";"Veuvage blanc";;"Collection Stella";24;"Bovet";"Marie-Anne de";"fre";"text";"Bovet, Marie-Anne de (1855-19..) ";;"[1921?] ";"160 p. ";"18 cm";"Collection Stella ; 24";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_24_C92546_1109601";;"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_24_C92546_1109601.pdf"
"(OCoLC)690350377; 1109603";"Editions du ""Petit Echo de la Mode""";"1921 ?";"Illusion masculine";;"Collection Stella";25;"La Brète";"Jean de";"fre";"text";"La Brète, Jean de (1858-1945) ";;"[1921?] ";"160 p. ";"18 cm";"Collection Stella ; 25";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_25_C92547_1109603";;"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_25_C92547_1109603.pdf"
"(OCoLC)689853714;sib1492857; 1109604";"Editions du ""Petit Echo de la Mode""";"1921 ?";"Chemin secret";;"Collection Stella";27;"Movet";"Lionel de";"fre";"text";"Movet, Lionel de (18..-19..) ";;"[1921?] ";"192 p.";"18 cm";"Collection Stella ; 27";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_27_C92548_1109604";;"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_27_C92548_1109604.pdf"
"(OCoLC)690350611; 1109605";"Editions du ""Petit Echo de la Mode""";"1921 ?";"Le devoir du fils";;"Collection Stella";28;"Alanic";"Mathilde";"fre";"text";"Alanic, Mathilde (1864-1948) ";;"[1921?] ";"160 p. ";"18 cm";"Collection Stella ; 28";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_28_C92605_1109605";;"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_28_C92549_1109605.pdf"
"(OCoLC)690350831; 1109606";"Editions du ""Petit Echo de la Mode""";1921;"Printemps perdu";;"Collection Stella";29;"Trilby";"T.";"fre";"text";"Trilby, T. (1875-1962) ";;1921;"192 p.";"18 cm";"Collection Stella ; 29";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_29_C92550_1109606";;"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_29_C92550_1109606.pdf"
"(OCoLC)690350981; 1109607";"Editions du ""Petit Echo de la Mode""";1921;"Le rêve d'Antoinette";;"Collection Stella";30;"Le Maire";"Eveline";"fre";"text";"Le Maire, Eveline (1876-1961) ";;"[1921] ";"192 p.";"18 cm";"Collection Stella ; 30";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_30_C92552_1109607";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_30_C92552_1109607.pdf"
"(OCoLC)690351101; 1109609";"Editions du ""Petit Echo de la Mode""";1921;"Le médecin de Lochrist";;"Collection Stella";31;"Du Béal";"Salva";"fre";"text";"Du Béal, Salva (1853-1923) ";;"[1921] ";"159 p. ";"18 cm";"Collection Stella ; 31";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_31_C92553_1109609";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_31_C92553_1109609.pdf"
"(OCoLC)690351448;sib0391182; 1109613";"Editions du ""Petit Echo de la Mode""";"1921 ?";"Lequel l'aimait ?";;"Collection Stella";32;"Floran";"Mary";"fre";"text";"Floran, Mary (1856-1934) ";;"[1921?] ";"223 p.";"18 cm";"Collection Stella ; 32";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_32_C92554_1109613";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_32_C92554_1109613.pdf"
"(OCoLC)690351870; 1109620";"Editions du ""Petit Echo de la Mode""";"1921 ?";"Comme une plume...";;"Collection Stella";33;"Alhix";"Antoine";"fre";"text";"Alhix, Antoine (18..-19..) ";;"[1921?] ";"160 p. ";"18 cm";"Collection Stella ; 33";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_33_C92555_1109620";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_33_C92555_1109620.pdf"
"(OCoLC)689499753;sib0389233; 1109624";"Editions du ""Petit Echo de la Mode""";"1921 ?";"Un réveil";;"Collection Stella";34;"La Brète";"Jean de";"fre";"text";"La Brète, Jean de (1858-1945) ";;"[1921?] ";"159 p. ";"18 cm";"Collection Stella ; 34";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_34_C92556_1109624";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_34_C92556_1109624.pdf"
"(OCoLC)690352604; 1109635";"Editions du ""Petit Echo de la Mode""";"1921 ?";"Trop jolie";;"Collection Stella";35;"Williamson";"Alice Muriel";"fre";"text";"Williamson, Alice Muriel (1869-1933) ";;"[1921?] ";"192 p.";"18 cm";"Collection Stella ; 35";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_35_C92557_1109635";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_35_C92557_1109635.pdf"
"(OCoLC)301472383; 1109639";"Editions du ""Petit Echo de la Mode""";"1921 ?";"La petiote";;"Collection Stella";36;"Trilby";"T.";"fre";"text";"Trilby, T. (1875-1962) ";;"[1921?] ";"159 p. ";"18 cm";"Collection Stella ; 36";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_36_C92558_1109639";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_36_C92558_1109639.pdf"
"(OCoLC)689503690;sib0390233; 1109654";"Editions du ""Petit Echo de la Mode""";"1921 ?";"Derniers rameaux";;"Collection Stella";37;"Harcoët";"Marie de";"fre";"text";"Harcoët, Marie de (1851-1932) ";;"[1921?] ";"192 p.";"18 cm";"Collection Stella ; 37";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_37_C92561_1109654";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_37_C92561_1109654.pdf"
"(OCoLC)690354308;sib0389283; 1109656";"Editions du ""Petit Echo de la Mode""";1921;"Au delà des monts";;"Collection Stella";38;"Bouvet";"Marie-Louise";"fre";"text";"Bouvet, Marie-Louise (1869-1954) ";;"© 1921";"160 p. ";"18 cm";"Collection Stella ; 38";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_38_C92562_1109656";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_38_C92562_1109656.pdf"
"(OCoLC)690354430; 1109659";"Editions du ""Petit Echo de la Mode""";"1921 ?";"Odette de Lymaille";"femme de lettres";"Collection Stella";42;"Trilby";"T.";"fre";"text";"Trilby, T. (1875-1962) ";;"[1921?] ";"160 p. ";"18 cm";"Collection Stella ; 42";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_42_C92563_1109659";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_42_C92563_1109659.pdf"
"(OCoLC)690550940; 1109660";"Editions du ""Petit Echo de la Mode""";"1921 ?";"La Roche-aux-Algues";;"Collection Stella";43;"Kérany";"L. de";"fre";"text";"Kérany, L. de (1875 -1932) ";;"[1921?] ";"192 p.";"18 cm";"Collection Stella ; 43";"text";"fre";"application/pdf ";"Domaine public";"BCU_Bastaire_Stella_43_C92564_1109660";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_43_C92564_1109660.pdf"
"(OCoLC)689539826;sib1203730; 1109740";"Editions du ""Petit Echo de la Mode""";"1922 ?";"Pardonner";;"Collection Stella";47;"Grandchamp";"Jacques";"fre";"text";"Grandchamp, Jacques (1885-1956) ";;"[1922?] ";"192 p.";"18 cm";"Collection Stella ; 47";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_47_C92565_1109740";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_47_C92565_1109740.pdf"
"(OCoLC)690363769; 1109743";"Editions du ""Petit Echo de la Mode""";"1922 ?";"Maryla";"roman d'une Polonaise";"Collection Stella";49;"Sandy";"Isabelle";"fre";"text";"Sandy, Isabelle (1884-1975) ";;"[1922?] ";"158 p.";"18 cm";"Collection Stella ; 49";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_49_C92568_1109743";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_49_C92568_1109743.pdf"
"(OCoLC)690551204; 1109745";"Editions du ""Petit Echo de la Mode""";"1922 ?";"Le mauvais amour";;"Collection Stella";50;"Trilby";"T.";"fre";"text";"Trilby, T. (1875-1962) ";;"[1922?] ";"192 p.";"18 cm";"Collection Stella ; 50";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_50_C92571_1109745";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_50_C92571_1109745.pdf"
"(OCoLC)690364824; 1109748";"Editions du ""Petit Echo de la Mode""";"1922 ?";"Les deux amours d'Agnès";;"Collection Stella";52;"Humilly de Chevilly";"Marie d'";"fre";"text";"Humilly de Chevilly, Marie d' (18..-19..) ";;"[1922?] ";"192 p.";"18 cm";"Collection Stella ; 52";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_52_C92572_1109748";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_52_C92572_1109748.pdf"
"(OCoLC)690365275;sib1203730; 1109756";"Editions du ""Petit Echo de la Mode""";1922;"Le coeur n'oublie pas";;"Collection Stella";58;"Grandchamp";"Jacques";"fre";"text";"Grandchamp, Jacques (1885-1956) ";;"[1922] ";"192 p.";"18 cm";"Collection Stella ; 58";"text";"fre";"application/pdf ";"Pas d’utilisation commerciale ";"BCU_Bastaire_Stella_58_C92573_1109756";"Bibliothèque Université Clermont Auvergne";"http://192.168.220.239/files/fichiers_bcu/BCU_Bastaire_Stella_58_C92573_1109756.pdf"
