"titre";"créateur";"contributeur";"sujet";"description";"editeur";"Date ";"Type ";"format";"preparation identifiant";"identifiant";"Source";"langue";"Relation";"couverture";"droits";"Préparation url "
"dianthus prolifex  ()";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"_dianthus_prolifex_MAB02251";"_dianthus_prolifex_MAB02251";"Bibliothèque Université Clermont Auvergne";"fre";;"Saint Jean du Gard";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/_dianthus_prolifex_MAB02251.jpg"
"cerastium arvense  ()";"Migout";"Feningre";;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"_cerastium_arvense_MAB02252";"_cerastium_arvense_MAB02252";"Bibliothèque Université Clermont Auvergne";"fre";;"Midi";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/_cerastium_arvense_MAB02252.jpg"
"arenaria media  ()";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"_arenaria_media_MAB02253";"_arenaria_media_MAB02253";"Bibliothèque Université Clermont Auvergne";"fre";;"Saint-Nectaire, Puy-de-Dôme";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/_arenaria_media_MAB02253.jpg"
"jasminum fruticans  (Jasminées)";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Jasminées_jasminum_fruticans_MAB02254";"Jasminees_jasminum_fruticans_MAB02254";"Bibliothèque Université Clermont Auvergne";"fre";;"Midi";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Jasminees_jasminum_fruticans_MAB02254.jpg"
"styrax officinalis  (Hyrocuriées ?)";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Hyrocuriées_?_styrax_officinalis_MAB02255";"Hyrocuriees_?_styrax_officinalis_MAB02255";"Bibliothèque Université Clermont Auvergne";"fre";;"Provence probablement";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Hyrocuriees_?_styrax_officinalis_MAB02255.jpg"
"ligustrum vulgare  ()";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";"mai 1862";"still image";"image/jpeg";"_ligustrum_vulgare_MAB02351";"_ligustrum_vulgare_MAB02351";"Bibliothèque Université Clermont Auvergne";"fre";;"haie du canal vis-à-vis la maison, Nohant";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/_ligustrum_vulgare_MAB02351.jpg"
"cystisus capitatus  (Légumineuses)";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Légumineuses_cystisus_capitatus_MAB02352";"Legumineuses_cystisus_capitatus_MAB02352";"Bibliothèque Université Clermont Auvergne";"fre";;"Provence probablement";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Legumineuses_cystisus_capitatus_MAB02352.jpg"
"cystisus sessilifolius  ()";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"_cystisus_sessilifolius_MAB02353";"_cystisus_sessilifolius_MAB02353";"Bibliothèque Université Clermont Auvergne";"fre";;"Provence, Midi";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/_cystisus_sessilifolius_MAB02353.jpg"
"cystisus spinosus  (Légumineuses)";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Légumineuses_cystisus_spinosus_MAB02354";"Legumineuses_cystisus_spinosus_MAB02354";"Bibliothèque Université Clermont Auvergne";"fre";;"Provence, Midi";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Legumineuses_cystisus_spinosus_MAB02354.jpg"
"ervum ervilia  (Légumineuses)";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Légumineuses_ervum_ervilia_MAB02355";"Legumineuses_ervum_ervilia_MAB02355";"Bibliothèque Université Clermont Auvergne";"fre";;0;"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Legumineuses_ervum_ervilia_MAB02355.jpg"
"genista sagittalis  ()";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";"mai 1862";"still image";"image/jpeg";"_genista_sagittalis_MAB02356";"_genista_sagittalis_MAB02356";"Bibliothèque Université Clermont Auvergne";"fre";;"Nohant, prairie du Malgache, au bas de son jardin";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/_genista_sagittalis_MAB02356.jpg"
"hippocrepis ciliata  (Légumineuses)";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Légumineuses_hippocrepis_ciliata_MAB02357";"Legumineuses_hippocrepis_ciliata_MAB02357";"Bibliothèque Université Clermont Auvergne";"fre";;"Toulon";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Legumineuses_hippocrepis_ciliata_MAB02357.jpg"
"lathyrus ochrus  (Légumineuses)";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Légumineuses_lathyrus_ochrus_MAB02358";"Legumineuses_lathyrus_ochrus_MAB02358";"Bibliothèque Université Clermont Auvergne";"fre";;"Provence, Midi";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Legumineuses_lathyrus_ochrus_MAB02358.jpg"
"lotus villosus  (Légumineuses)";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Légumineuses_lotus_villosus_MAB02359";"Legumineuses_lotus_villosus_MAB02359";"Bibliothèque Université Clermont Auvergne";"fre";;"Midi";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Legumineuses_lotus_villosus_MAB02359.jpg"
