"titre";"créateur";"contributeur";"sujet";"description";"editeur";"Date ";"Type ";"format";"preparation identifiant";"identifiant";"Source";"langue";"Relation";"couverture";"droits";"Préparation url "
"Hen aquifolium  (Oléacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"5 juin 1876";"still image";"image/jpeg";"Oléacées_Hen_aquifolium_MAB02709";"Oleacees_Hen_aquifolium_MAB02709";"Bibliothèque Université Clermont Auvergne";"fre";;"Moladier";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Oleacees_Hen_aquifolium_MAB02709.jpg"
"Ligustrum vulgare  (Oléacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"28 mai ?";"still image";"image/jpeg";"Oléacées_Ligustrum_vulgare_MAB02705";"Oleacees_Ligustrum_vulgare_MAB02705";"Bibliothèque Université Clermont Auvergne";"fre";;"Avermes";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Oleacees_Ligustrum_vulgare_MAB02705.jpg"
"Ligustrum vulgare  (Oléacées)";"Migout";"Bourgougnon";;;"Herbiers universitaires de Clermont-Ferrand";"14 juin 1877";"still image";"image/jpeg";"Oléacées_Ligustrum_vulgare_MAB02706";"Oleacees_Ligustrum_vulgare_MAB02706";"Bibliothèque Université Clermont Auvergne";"fre";;"Loriges";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Oleacees_Ligustrum_vulgare_MAB02706.jpg"
"Ligustrum vulgare  (Oléacées)";"Migout";"Herbier.P.Billiet";;;"Herbiers universitaires de Clermont-Ferrand";"7 juin 1870";"still image";"image/jpeg";"Oléacées_Ligustrum_vulgare_MAB02707";"Oleacees_Ligustrum_vulgare_MAB02707";"Bibliothèque Université Clermont Auvergne";"fre";;"Gannat";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Oleacees_Ligustrum_vulgare_MAB02707.jpg"
"Fraxinus excelsior  (Oléacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";1874;"still image";"image/jpeg";"Oléacées_Fraxinus_excelsior_MAB02708";"Oleacees_Fraxinus_excelsior_MAB02708";"Bibliothèque Université Clermont Auvergne";"fre";;"Moulins";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Oleacees_Fraxinus_excelsior_MAB02708.jpg"
"Vinca major  (Apocynées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"juillet 1873";"still image";"image/jpeg";"Apocynées_Vinca_major_MAB02701";"Apocynees_Vinca_major_MAB02701";"Bibliothèque Université Clermont Auvergne";"fre";;"Yzeure";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Apocynees_Vinca_major_MAB02701.jpg"
"Vinca major  (Apocynées)";"Migout";"Herbier.P.Billiet";;;"Herbiers universitaires de Clermont-Ferrand";"5 juin 1869";"still image";"image/jpeg";"Apocynées_Vinca_major_MAB02702";"Apocynees_Vinca_major_MAB02702";"Bibliothèque Université Clermont Auvergne";"fre";;"Gannat";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Apocynees_Vinca_major_MAB02702.jpg"
"Vinca minor  (Apocynées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Apocynées_Vinca_minor_MAB02703";"Apocynees_Vinca_minor_MAB02703";"Bibliothèque Université Clermont Auvergne";"fre";;"Vallière près Moulins";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Apocynees_Vinca_minor_MAB02703.jpg"
"Vinca minor  (Apocynées)";"Migout";"Herbier.P.Billiet";;;"Herbiers universitaires de Clermont-Ferrand";"5 juin 1869 ou 8 juin";"still image";"image/jpeg";"Apocynées_Vinca_minor_MAB02704";"Apocynees_Vinca_minor_MAB02704";"Bibliothèque Université Clermont Auvergne";"fre";;"Gannat ou Cuissat";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Apocynees_Vinca_minor_MAB02704.jpg"
"Lysimachia nemorum  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Primulacées_Lysimachia_nemorum_MAB02710";"Primulacees_Lysimachia_nemorum_MAB02710";"Bibliothèque Université Clermont Auvergne";"fre";;0;"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Lysimachia_nemorum_MAB02710.jpg"
"Lysimachia nemorum  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";1873;"still image";"image/jpeg";"Primulacées_Lysimachia_nemorum_MAB02711";"Primulacees_Lysimachia_nemorum_MAB02711";"Bibliothèque Université Clermont Auvergne";"fre";;"Laprugne";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Lysimachia_nemorum_MAB02711.jpg"
"Lysimachia nemorum  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"8 août 1879";"still image";"image/jpeg";"Primulacées_Lysimachia_nemorum_MAB02712";"Primulacees_Lysimachia_nemorum_MAB02712";"Bibliothèque Université Clermont Auvergne";"fre";;"Echassières";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Lysimachia_nemorum_MAB02712.jpg"
"Lysimachia nemorum  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"juin 1872";"still image";"image/jpeg";"Primulacées_Lysimachia_nemorum_MAB02713";"Primulacees_Lysimachia_nemorum_MAB02713";"Bibliothèque Université Clermont Auvergne";"fre";;"Chavenon";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Lysimachia_nemorum_MAB02713.jpg"
"Lysimachia nemorum  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"août 1875";"still image";"image/jpeg";"Primulacées_Lysimachia_nemorum_MAB02714";"Primulacees_Lysimachia_nemorum_MAB02714";"Bibliothèque Université Clermont Auvergne";"fre";;"Montoncelle";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Lysimachia_nemorum_MAB02714.jpg"
"Anagallis tenella  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Primulacées_Anagallis_tenella_MAB02715";"Primulacees_Anagallis_tenella_MAB02715";"Bibliothèque Université Clermont Auvergne";"fre";;"Lusigny, étang de Chevray, route de Bourgogne";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Anagallis_tenella_MAB02715.jpg"
"Anagallis tenella  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"8 août 1879";"still image";"image/jpeg";"Primulacées_Anagallis_tenella_MAB02716";"Primulacees_Anagallis_tenella_MAB02716";"Bibliothèque Université Clermont Auvergne";"fre";;"Echassières";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Anagallis_tenella_MAB02716.jpg"
"Anagallis tenella  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"8 août 1879";"still image";"image/jpeg";"Primulacées_Anagallis_tenella_MAB02717";"Primulacees_Anagallis_tenella_MAB02717";"Bibliothèque Université Clermont Auvergne";"fre";;"Echassières";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Anagallis_tenella_MAB02717.jpg"
"Anagallis tenella  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";1877;"still image";"image/jpeg";"Primulacées_Anagallis_tenella_MAB02718";"Primulacees_Anagallis_tenella_MAB02718";"Bibliothèque Université Clermont Auvergne";"fre";;"Murat";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Anagallis_tenella_MAB02718.jpg"
"Anagallis tenella  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";1875;"still image";"image/jpeg";"Primulacées_Anagallis_tenella_MAB02719";"Primulacees_Anagallis_tenella_MAB02719";"Bibliothèque Université Clermont Auvergne";"fre";;"Monétay aux prés des morrats";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Anagallis_tenella_MAB02719.jpg"
"Anagallis tenella  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Primulacées_Anagallis_tenella_MAB02720";"Primulacees_Anagallis_tenella_MAB02720";"Bibliothèque Université Clermont Auvergne";"fre";;0;"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Anagallis_tenella_MAB02720.jpg"
"Anagallis tenella  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"17 juin 1874";"still image";"image/jpeg";"Primulacées_Anagallis_tenella_MAB02721";"Primulacees_Anagallis_tenella_MAB02721";"Bibliothèque Université Clermont Auvergne";"fre";;"Bessay";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Anagallis_tenella_MAB02721.jpg"
"Anagallis tenella  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"28 juin ?";"still image";"image/jpeg";"Primulacées_Anagallis_tenella_MAB02722";"Primulacees_Anagallis_tenella_MAB02722";"Bibliothèque Université Clermont Auvergne";"fre";;"pré de la cave";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Anagallis_tenella_MAB02722.jpg"
"Centunculus minimus  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Primulacées_Centunculus_minimus_MAB02723";"Primulacees_Centunculus_minimus_MAB02723";"Bibliothèque Université Clermont Auvergne";"fre";;"Chavenon, chemin de Villefranche à Maltaverne";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Centunculus_minimus_MAB02723.jpg"
"Centunculus minimus  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Primulacées_Centunculus_minimus_MAB02724";"Primulacees_Centunculus_minimus_MAB02724";"Bibliothèque Université Clermont Auvergne";"fre";;"forêt de Bagnolet";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Centunculus_minimus_MAB02724.jpg"
"Centunculus minimus  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";1877;"still image";"image/jpeg";"Primulacées_Centunculus_minimus_MAB02725";"Primulacees_Centunculus_minimus_MAB02725";"Bibliothèque Université Clermont Auvergne";"fre";;"étang du clou, Chavenon";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Centunculus_minimus_MAB02725.jpg"
"Glaux maritima  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"22 juin 1884";"still image";"image/jpeg";"Primulacées_Glaux_maritima_MAB02726";"Primulacees_Glaux_maritima_MAB02726";"Bibliothèque Université Clermont Auvergne";"fre";;"Vauvernier";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Glaux_maritima_MAB02726.jpg"
"Anagallis carulea  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";1873;"still image";"image/jpeg";"Primulacées_Anagallis_carulea_MAB02727";"Primulacees_Anagallis_carulea_MAB02727";"Bibliothèque Université Clermont Auvergne";"fre";;"Monétay";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Anagallis_carulea_MAB02727.jpg"
"Anagallis carulea  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";1882;"still image";"image/jpeg";"Primulacées_Anagallis_carulea_MAB02728";"Primulacees_Anagallis_carulea_MAB02728";"Bibliothèque Université Clermont Auvergne";"fre";;"Chantelle";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Anagallis_carulea_MAB02728.jpg"
"Anagallis carulea  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";1879;"still image";"image/jpeg";"Primulacées_Anagallis_carulea_MAB02729";"Primulacees_Anagallis_carulea_MAB02729";"Bibliothèque Université Clermont Auvergne";"fre";;"Le Veurdre au mont talot";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Anagallis_carulea_MAB02729.jpg"
"Anagallis carulea  (Primulacées)";"Migout";"Bourgougnon";;;"Herbiers universitaires de Clermont-Ferrand";"8 juin 1877";"still image";"image/jpeg";"Primulacées_Anagallis_carulea_MAB02730";"Primulacees_Anagallis_carulea_MAB02730";"Bibliothèque Université Clermont Auvergne";"fre";;"Chareil";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Anagallis_carulea_MAB02730.jpg"
"Anagallis carulea  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"25 août 1874";"still image";"image/jpeg";"Primulacées_Anagallis_carulea_MAB02731";"Primulacees_Anagallis_carulea_MAB02731";"Bibliothèque Université Clermont Auvergne";"fre";;"Bresnay";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Anagallis_carulea_MAB02731.jpg"
"Anagallis carulea  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";30-déc.;"still image";"image/jpeg";"Primulacées_Anagallis_carulea_MAB02732";"Primulacees_Anagallis_carulea_MAB02732";"Bibliothèque Université Clermont Auvergne";"fre";;"Neuvy";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Anagallis_carulea_MAB02732.jpg"
"Anagallis ?  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";30-déc.;"still image";"image/jpeg";"Primulacées_Anagallis_?_MAB02733";"Primulacees_Anagallis_?_MAB02733";"Bibliothèque Université Clermont Auvergne";"fre";;"Moulins";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Anagallis_?_MAB02733.jpg"
"Hottonia palustris  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";30-déc.;"still image";"image/jpeg";"Primulacées_Hottonia_palustris_MAB02734";"Primulacees_Hottonia_palustris_MAB02734";"Bibliothèque Université Clermont Auvergne";"fre";;"Thiel";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Hottonia_palustris_MAB02734.jpg"
"Hottonia palustris  (Primulacées)";"Migout";"Perrier & Meige";;;"Herbiers universitaires de Clermont-Ferrand";"2 juin 1879";"still image";"image/jpeg";"Primulacées_Hottonia_palustris_MAB02735";"Primulacees_Hottonia_palustris_MAB02735";"Bibliothèque Université Clermont Auvergne";"fre";;"Le Veurdre";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Hottonia_palustris_MAB02735.jpg"
"Lysimachia nummularia  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Primulacées_Lysimachia_nummularia_MAB02736";"Primulacees_Lysimachia_nummularia_MAB02736";"Bibliothèque Université Clermont Auvergne";"fre";;"Moulins";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Lysimachia_nummularia_MAB02736.jpg"
"Lysimachia nummularia  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"20 juin 1881";"still image";"image/jpeg";"Primulacées_Lysimachia_nummularia_MAB02737";"Primulacees_Lysimachia_nummularia_MAB02737";"Bibliothèque Université Clermont Auvergne";"fre";;"Lurcy";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Lysimachia_nummularia_MAB02737.jpg"
"Lysimachia nummularia  (Primulacées)";"Migout";"Herbier.P.Billiet";;;"Herbiers universitaires de Clermont-Ferrand";"30 mai 1875";"still image";"image/jpeg";"Primulacées_Lysimachia_nummularia_MAB02738";"Primulacees_Lysimachia_nummularia_MAB02738";"Bibliothèque Université Clermont Auvergne";"fre";;"bord du canal à Pierrefitte";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Lysimachia_nummularia_MAB02738.jpg"
"Lysimachia vulgaris  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"27 juillet ?";"still image";"image/jpeg";"Primulacées_Lysimachia_vulgaris_MAB02739";"Primulacees_Lysimachia_vulgaris_MAB02739";"Bibliothèque Université Clermont Auvergne";"fre";;"Yzeure";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Lysimachia_vulgaris_MAB02739.jpg"
"Lysimachia vulgaris  (Primulacées)";"Migout";"Bourgougnon";;;"Herbiers universitaires de Clermont-Ferrand";"21 juillet 1878";"still image";"image/jpeg";"Primulacées_Lysimachia_vulgaris_MAB02740";"Primulacees_Lysimachia_vulgaris_MAB02740";"Bibliothèque Université Clermont Auvergne";"fre";;"Loriges";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Lysimachia_vulgaris_MAB02740.jpg"
"Lysimachia vulgaris  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Primulacées_Lysimachia_vulgaris_MAB02741";"Primulacees_Lysimachia_vulgaris_MAB02741";"Bibliothèque Université Clermont Auvergne";"fre";;"bois, près de Ferrières";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Lysimachia_vulgaris_MAB02741.jpg"
"Lysimachia vulgaris  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Primulacées_Lysimachia_vulgaris_MAB02742";"Primulacees_Lysimachia_vulgaris_MAB02742";"Bibliothèque Université Clermont Auvergne";"fre";;"Laprugne";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Lysimachia_vulgaris_MAB02742.jpg"
"Primula elatior  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"24 avril 1865";"still image";"image/jpeg";"Primulacées_Primula_elatior_MAB02743";"Primulacees_Primula_elatior_MAB02743";"Bibliothèque Université Clermont Auvergne";"fre";;"Moladier";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Primula_elatior_MAB02743.jpg"
"Primula elatior  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"26 avril 1878";"still image";"image/jpeg";"Primulacées_Primula_elatior_MAB02744";"Primulacees_Primula_elatior_MAB02744";"Bibliothèque Université Clermont Auvergne";"fre";;"Fleuriel à Giverzat";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Primula_elatior_MAB02744.jpg"
"Primula elatior  (Primulacées)";"Migout";"Gagne";;;"Herbiers universitaires de Clermont-Ferrand";"20 août 1877";"still image";"image/jpeg";"Primulacées_Primula_elatior_MAB02745";"Primulacees_Primula_elatior_MAB02745";"Bibliothèque Université Clermont Auvergne";"fre";;"vallée de l'Amadou, près Montluçon";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Primula_elatior_MAB02745.jpg"
"Primula elatior  (Primulacées)";"Migout";"Giat";;;"Herbiers universitaires de Clermont-Ferrand";"25 avril 1878";"still image";"image/jpeg";"Primulacées_Primula_elatior_MAB02746";"Primulacees_Primula_elatior_MAB02746";"Bibliothèque Université Clermont Auvergne";"fre";;"Chantelle";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Primula_elatior_MAB02746.jpg"
"Primula elatior  (Primulacées)";"Migout";"Bourgougnon";;;"Herbiers universitaires de Clermont-Ferrand";"20 avril 1878";"still image";"image/jpeg";"Primulacées_Primula_elatior_MAB02747";"Primulacees_Primula_elatior_MAB02747";"Bibliothèque Université Clermont Auvergne";"fre";;"Bayet";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Primula_elatior_MAB02747.jpg"
"Primula elatior  (Primulacées)";"Migout";"Gay";;;"Herbiers universitaires de Clermont-Ferrand";"10 avril 1876";"still image";"image/jpeg";"Primulacées_Primula_elatior_MAB02748";"Primulacees_Primula_elatior_MAB02748";"Bibliothèque Université Clermont Auvergne";"fre";;"Branssat";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Primula_elatior_MAB02748.jpg"
"Primula officinalis  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"3 avril 1865";"still image";"image/jpeg";"Primulacées_Primula_officinalis_MAB02749";"Primulacees_Primula_officinalis_MAB02749";"Bibliothèque Université Clermont Auvergne";"fre";;"Avermes";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Primula_officinalis_MAB02749.jpg"
"Primula officinali  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"avril 1883";"still image";"image/jpeg";"Primulacées_Primula_officinali_MAB02750";"Primulacees_Primula_officinali_MAB02750";"Bibliothèque Université Clermont Auvergne";"fre";;"Fleuriel";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Primula_officinali_MAB02750.jpg"
"Samolus valerandi  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"11 août 1879";"still image";"image/jpeg";"Primulacées_Samolus_valerandi_MAB02751";"Primulacees_Samolus_valerandi_MAB02751";"Bibliothèque Université Clermont Auvergne";"fre";;"Fourilles, marais du bois de la rivière";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Samolus_valerandi_MAB02751.jpg"
"Samolus valerandi  (Primulacées)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"22 juin 1882";"still image";"image/jpeg";"Primulacées_Samolus_valerandi_MAB02752";"Primulacees_Samolus_valerandi_MAB02752";"Bibliothèque Université Clermont Auvergne";"fre";;"Vauvernier";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Primulacees_Samolus_valerandi_MAB02752.jpg"
"Calluna vulgaris  (Bruyères)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";1873;"still image";"image/jpeg";"Bruyères_Calluna_vulgaris_MAB02753";"Bruyères_Calluna_vulgaris_MAB02753";"Bibliothèque Université Clermont Auvergne";"fre";;"Bressolles";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Bruyères_Calluna_vulgaris_MAB02753.jpg"
"Calluna vulgaris  (Bruyères)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"8 juin 1881";"still image";"image/jpeg";"Bruyères_Calluna_vulgaris_MAB02754";"Bruyères_Calluna_vulgaris_MAB02754";"Bibliothèque Université Clermont Auvergne";"fre";;"Montoncelle";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Bruyères_Calluna_vulgaris_MAB02754.jpg"
"Calluna vulgaris  (Bruyères)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"6 juin 1881";"still image";"image/jpeg";"Bruyères_Calluna_vulgaris_MAB02755";"Bruyères_Calluna_vulgaris_MAB02755";"Bibliothèque Université Clermont Auvergne";"fre";;"Le sapet, bois de l'Allier, Laprugne";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Bruyères_Calluna_vulgaris_MAB02755.jpg"
"Calluna vulgaris  (Bruyères)";"Migout";"Gagne";;;"Herbiers universitaires de Clermont-Ferrand";"22 août 1877";"still image";"image/jpeg";"Bruyères_Calluna_vulgaris_MAB02756";"Bruyères_Calluna_vulgaris_MAB02756";"Bibliothèque Université Clermont Auvergne";"fre";;"bois de Labrosse, montluçon";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Bruyères_Calluna_vulgaris_MAB02756.jpg"
"Calluna vulgaris  (Bruyères)";"Migout";"Herbier.P.Billiet";;;"Herbiers universitaires de Clermont-Ferrand";"13 août 1869";"still image";"image/jpeg";"Bruyères_Calluna_vulgaris_MAB02757";"Bruyères_Calluna_vulgaris_MAB02757";"Bibliothèque Université Clermont Auvergne";"fre";;"Gannat";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Bruyères_Calluna_vulgaris_MAB02757.jpg"
"Calluna vulgaris  (Bruyères)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Bruyères_Calluna_vulgaris_MAB02758";"Bruyères_Calluna_vulgaris_MAB02758";"Bibliothèque Université Clermont Auvergne";"fre";;"Vieure";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Bruyères_Calluna_vulgaris_MAB02758.jpg"
"Calluna vulgaris  (Bruyères)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Bruyères_Calluna_vulgaris_MAB02759";"Bruyères_Calluna_vulgaris_MAB02759";"Bibliothèque Université Clermont Auvergne";"fre";;"forêt de la Dreuille, Cosne";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Bruyères_Calluna_vulgaris_MAB02759.jpg"
"Erica cinerea  (Bruyères)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"28 mai ?";"still image";"image/jpeg";"Bruyères_Erica_cinerea_MAB02760";"Bruyères_Erica_cinerea_MAB02760";"Bibliothèque Université Clermont Auvergne";"fre";;"Moulins";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Bruyères_Erica_cinerea_MAB02760.jpg"
"Erica cinerea  (Bruyères)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"30 août 1883";"still image";"image/jpeg";"Bruyères_Erica_cinerea_MAB02761";"Bruyères_Erica_cinerea_MAB02761";"Bibliothèque Université Clermont Auvergne";"fre";;"St Victor à ..";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Bruyères_Erica_cinerea_MAB02761.jpg"
"Erica cinerea  (Bruyères)";"Migout";"Migout";;;"Herbiers universitaires de Clermont-Ferrand";"7 août 1878";"still image";"image/jpeg";"Bruyères_Erica_cinerea_MAB02762";"Bruyères_Erica_cinerea_MAB02762";"Bibliothèque Université Clermont Auvergne";"fre";;"Chirat";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Bruyères_Erica_cinerea_MAB02762.jpg"
